1;Vincent;Dupont;vince84;vincentdupdup@gmail.com;vincent84;1;0
2;Mario;Zephir;mario09;mariozephir@hotmail.com;mario09;1;0
3;Hirohiko;Yaho;hiroyaya;hiroyaya@gmail.com;hiroyaya;1;0
4;Elodie;Zephir;elodie13;melodiezephir@gmail.com;test;1;0
5;Mattew;Purahoo;mat784;matpupu@yahoo.fr;mat784;1;0
6;Juan;Pablo;juan874;juanpablo@gmail.com;juan874;1;0
7;Frederico;Fernandez;fre8400;frederico8400@hotmail.com;fre84000;1;1
8;Marie;Zephir;marie13;marie.zephir@alumni-avignon.fr;test;1;1
9;Jerome;Burgeat;theBest;jerome.burgeat@alumni-avignon.fr;1234;1;1
10;Pablo;Juan;pablo874;juanpablo@gmail.com;pablo874;1;1
11;Yassine;Aadssi;yassine50;yassine12@gmail.com;yassine50;1;1
12;Jesus;Minou;jesuismimi;jesusminou@hotmail.fr;jesuismimi;1;1
13;Laura;Lara;LauLa56;laulau56@gmail.com;LauLa56;0;1
14;Hensley;Gaiquis;hens24;hensleygaiquis24@hotmail.fr;hens24;0;1
15;Kirikou;Petit;pasGrand;kirikou@hotmail.fr;pasGrand;0;1
